Item,Answer_resnet18,Answer_resnet34,Answer_resnet50,Answer_resnet101,Answer_resnet152,Answer_densenet121,Answer_densenet161,Answer_densenet169,Answer_densenet201,Answer_efficientnet_b0,Answer_efficientnet_b1,Answer_efficientnet_b2,Answer_efficientnet_b3,Answer_efficientnet_b4,Answer_vgg11,Answer_vgg13,Answer_vgg16,Answer_vgg19,Answer_mobilenet_v2,Answer_mobilenet_v3_large,Answer_mobilenet_v3_small,Answer_alexnet,Answer_shufflenet_v2_x0_5,Answer_shufflenet_v2_x1_0,Answer_squeezenet1_0,Answer_squeezenet1_1,Answer_inception_v3,True Label
n01498041\0.000116_digital clock _ digital clock_0.865662.jpg,screen,hand-held computer,screen,reflex camera,hand-held computer,hand-held computer,hand-held computer,hand-held computer,cellular telephone,screen,television,hand-held computer,hand-held computer,hand-held computer,television,cellular telephone,cellular telephone,Polaroid camera,television,television,screen,television,tray,monitor,screen,screen,television,digital clock 
n01498041\0.000348_chameleon _ box turtle_0.55540705.jpg,horned viper,dung beetle,dung beetle,nematode,head cabbage,wool,peacock,conch,mud turtle,head cabbage,mud turtle,head cabbage,head cabbage,head cabbage,armadillo,dung beetle,trilobite,mud turtle,dung beetle,dung beetle,green mamba,dung beetle,peacock,head cabbage,dung beetle,green lizard,head cabbage,chameleon 
n01498041\0.000376_oystercatcher _ oystercatcher_0.7287027.jpg,breakwater,promontory,seashore,sea lion,seashore,valley,valley,breakwater,lakeside,breakwater,seashore,breakwater,seashore,breakwater,sea lion,breakwater,breakwater,breakwater,valley,promontory,sea lion,stone wall,sea lion,valley,breakwater,breakwater,breakwater,oystercatcher 
n01498041\0.000539_American alligator _ American alligator_0.85773236.jpg,chainlink fence,chainlink fence,American alligator,American alligator,African hunting dog,American alligator,chainlink fence,chainlink fence,badger,African crocodile,chainlink fence,African crocodile,electric ray,American alligator,American alligator,American alligator,chainlink fence,chainlink fence,chainlink fence,chainlink fence,American alligator,snow leopard,chainlink fence,chainlink fence,chainlink fence,orangutan,American alligator,American alligator 
n01498041\0.000682_jellyfish _ jellyfish_0.99729806.jpg,jellyfish,jellyfish,barracouta,stingray,stingray,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,stingray,electric ray,jellyfish,jellyfish,water snake,nematode,nematode,jellyfish,jellyfish,sea snake,sea snake,sea snake,jellyfish,jellyfish,water snake,jellyfish,jellyfish 
n01498041\0.000904_nail _ nail_0.89647555.jpg,nail,nail,sea cucumber,gar,electric ray,nail,nail,nail,spiny lobster,nail,electric ray,nail,electric ray,spiny lobster,spiny lobster,nail,nail,nail,nail,nail,gar,nail,gar,nail,nail,nail,walking stick,nail 
n01498041\0.001005_rapeseed _ rapeseed_0.92979145.jpg,rapeseed,bee,jellyfish,stingray,stingray,rapeseed,consomme,rapeseed,Dungeness crab,stingray,stingray,stingray,stingray,stingray,rapeseed,rapeseed,rapeseed,rapeseed,rapeseed,rapeseed,jellyfish,rapeseed,rapeseed,rapeseed,rapeseed,rapeseed,dung beetle,rapeseed 
n01498041\0.001074_American bullfrog _ stick insect_0.5428818.jpg,water snake,water snake,mongoose,sea cucumber,common newt,common newt,fiddler crab,common newt,common newt,agama,water snake,common newt,dung beetle,mud turtle,green mamba,common newt,green mamba,water snake,wolf spider,fiddler crab,garter snake,Komodo dragon,tarantula,mud turtle,Komodo dragon,pineapple,tailed frog,American bullfrog 
n01498041\0.001174_shipwreck _ shipwreck_0.34689608.jpg,amphibian,breakwater,amphibian,loggerhead,amphibian,speedboat,seashore,amphibian,seashore,amphibian,amphibian,seashore,seashore,seashore,amphibian,seashore,amphibian,breakwater,speedboat,seashore,amphibian,seashore,breakwater,amphibian,breakwater,seashore,seashore,shipwreck 
n01498041\0.001295_submarine _ submarine_0.9607397.jpg,gar,speedboat,sea lion,dam,sea lion,guillotine,dam,paddlewheel,paddlewheel,dam,sea lion,dock,boathouse,sea lion,submarine,submarine,wreck,submarine,crate,tub,dam,cassette,aircraft carrier,cassette,birdhouse,flute,speedboat,submarine 
