Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer google/vit-base-patch16-224-in21k,True Label
n01443537\art_0.jpg,747,653,653,653,721,721,0,n01443537
n01443537\art_1.jpg,591,584,721,721,721,684,1,n01443537
n01443537\art_10.jpg,1,1,1,1,1,1,1,n01443537
n01443537\art_11.jpg,868,868,1,868,1,1,1,n01443537
n01443537\art_12.jpg,728,723,728,728,723,88,0,n01443537
n01443537\art_2.jpg,551,623,551,868,611,897,0,n01443537
n01443537\art_3.jpg,797,797,850,797,750,797,1,n01443537
n01443537\art_4.jpg,868,611,598,611,782,741,0,n01443537
n01443537\art_5.jpg,587,733,733,733,863,882,1,n01443537
n01443537\art_6.jpg,868,591,38,611,794,549,1,n01443537
n01443537\art_7.jpg,894,921,868,921,868,794,0,n01443537
n01443537\art_8.jpg,911,615,911,911,911,610,1,n01443537
n01443537\art_9.jpg,584,584,721,584,539,796,0,n01443537
n01443537\cartoon_0.jpg,443,443,443,443,443,971,1,n01443537
n01443537\cartoon_1.jpg,917,916,916,714,549,916,0,n01443537
n01443537\cartoon_10.jpg,611,591,115,611,591,721,1,n01443537
n01443537\cartoon_11.jpg,392,917,917,392,917,917,1,n01443537
n01443537\cartoon_12.jpg,723,723,607,723,719,719,0,n01443537
n01443537\cartoon_13.jpg,917,917,917,983,917,405,1,n01443537
n01443537\cartoon_14.jpg,917,607,107,607,607,643,0,n01443537
n01443537\cartoon_15.jpg,549,549,549,549,549,549,1,n01443537
n01443537\cartoon_16.jpg,723,692,879,700,549,721,1,n01443537
n01443537\cartoon_17.jpg,419,800,549,917,917,917,0,n01443537
n01443537\cartoon_18.jpg,917,721,917,611,721,794,1,n01443537
n01443537\cartoon_19.jpg,719,917,794,611,917,794,1,n01443537
n01443537\cartoon_2.jpg,721,721,643,721,721,721,1,n01443537
n01443537\cartoon_20.jpg,800,800,800,917,800,800,0,n01443537
n01443537\cartoon_21.jpg,719,719,719,719,719,719,1,n01443537
n01443537\cartoon_22.jpg,71,78,896,868,71,892,0,n01443537
n01443537\cartoon_23.jpg,917,591,917,591,611,710,1,n01443537
n01443537\cartoon_24.jpg,868,868,917,917,917,443,0,n01443537
n01443537\cartoon_25.jpg,917,600,643,643,917,402,1,n01443537
n01443537\cartoon_26.jpg,919,626,539,921,458,919,1,n01443537
n01443537\cartoon_27.jpg,443,443,443,38,721,443,0,n01443537
n01443537\cartoon_28.jpg,917,917,917,917,917,709,1,n01443537
n01443537\cartoon_29.jpg,917,917,719,917,917,607,1,n01443537
n01443537\cartoon_3.jpg,917,722,917,917,917,917,1,n01443537
n01443537\cartoon_30.jpg,392,584,721,392,868,392,1,n01443537
n01443537\cartoon_31.jpg,794,917,917,684,611,610,0,n01443537
n01443537\cartoon_32.jpg,610,917,917,917,917,836,1,n01443537
n01443537\cartoon_33.jpg,999,714,535,787,787,892,1,n01443537
n01443537\cartoon_34.jpg,1,1,1,115,1,1,1,n01443537
n01443537\cartoon_35.jpg,414,861,917,787,787,787,0,n01443537
n01443537\cartoon_36.jpg,445,610,998,986,224,558,1,n01443537
n01443537\cartoon_37.jpg,610,917,610,600,917,701,1,n01443537
n01443537\cartoon_38.jpg,36,36,389,88,36,840,1,n01443537
n01443537\cartoon_39.jpg,591,868,917,111,942,443,1,n01443537
n01443537\cartoon_4.jpg,584,584,643,584,643,723,1,n01443537
n01443537\cartoon_40.jpg,861,747,879,417,879,457,0,n01443537
n01443537\cartoon_41.jpg,868,646,110,868,868,721,1,n01443537
n01443537\cartoon_5.jpg,714,584,709,917,709,774,1,n01443537
n01443537\cartoon_6.jpg,591,591,591,591,721,591,0,n01443537
n01443537\cartoon_7.jpg,107,714,714,107,107,107,0,n01443537
n01443537\cartoon_8.jpg,747,917,917,917,917,614,0,n01443537
n01443537\cartoon_9.jpg,723,584,723,417,607,710,1,n01443537
n01443537\deviantart_0.jpg,971,973,971,973,971,782,1,n01443537
n01443537\deviantart_1.jpg,917,793,903,601,903,903,0,n01443537
n01443537\deviantart_10.jpg,638,655,638,638,903,824,0,n01443537
n01443537\deviantart_11.jpg,1,1,1,1,1,1,0,n01443537
n01443537\deviantart_12.jpg,1,1,1,1,1,1,0,n01443537
n01443537\deviantart_13.jpg,917,107,983,107,107,983,0,n01443537
n01443537\deviantart_14.jpg,591,697,917,697,591,611,1,n01443537
n01443537\deviantart_15.jpg,917,917,917,917,917,917,1,n01443537
n01443537\deviantart_16.jpg,1,1,1,1,1,1,0,n01443537
n01443537\deviantart_2.jpg,917,917,917,917,917,560,1,n01443537
n01443537\deviantart_3.jpg,917,476,917,854,111,607,1,n01443537
n01443537\deviantart_4.jpg,1,1,1,1,1,1,1,n01443537
n01443537\deviantart_5.jpg,611,773,917,611,917,611,1,n01443537
n01443537\deviantart_6.jpg,591,584,5,896,868,326,1,n01443537
n01443537\deviantart_7.jpg,917,758,917,456,917,710,1,n01443537
n01443537\deviantart_8.jpg,1,1,1,1,1,1,1,n01443537
n01443537\deviantart_9.jpg,917,917,917,917,643,643,1,n01443537
n01443537\embroidery_0.jpg,658,735,474,735,658,735,0,n01443537
n01443537\embroidery_1.jpg,591,591,658,38,327,38,0,n01443537
n01443537\embroidery_10.jpg,868,549,327,1,1,1,0,n01443537
n01443537\embroidery_11.jpg,868,1,921,868,794,1,1,n01443537
n01443537\embroidery_2.jpg,641,773,584,911,911,911,0,n01443537
n01443537\embroidery_3.jpg,551,861,861,861,861,828,1,n01443537
n01443537\embroidery_4.jpg,591,591,591,591,591,591,0,n01443537
n01443537\embroidery_5.jpg,539,692,911,549,443,721,1,n01443537
n01443537\embroidery_6.jpg,721,443,611,443,443,539,0,n01443537
n01443537\embroidery_7.jpg,489,489,489,489,489,489,1,n01443537
n01443537\embroidery_8.jpg,443,443,611,868,443,452,0,n01443537
n01443537\embroidery_9.jpg,721,591,750,611,591,721,1,n01443537
n01443537\graffiti_0.jpg,1,1,1,1,1,1,1,n01443537
n01443537\graffiti_1.jpg,1,392,1,1,723,704,1,n01443537
n01443537\graffiti_10.jpg,721,327,1,107,107,327,0,n01443537
n01443537\graffiti_11.jpg,412,565,637,756,565,954,1,n01443537
