Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,True Label
n01440764\sketch_0.JPEG,591,36,51,69,658,616,n01440764
n01440764\sketch_1.JPEG,51,389,389,5,389,545,n01440764
n01440764\sketch_10.JPEG,611,36,539,51,281,791,n01440764
n01440764\sketch_11.JPEG,391,389,389,389,389,24,n01440764
n01440764\sketch_12.JPEG,69,126,69,749,958,337,n01440764
n01440764\sketch_13.JPEG,3,391,0,5,0,457,n01440764
n01440764\sketch_14.JPEG,916,549,549,549,549,549,n01440764
n01440764\sketch_15.JPEG,539,461,389,391,5,534,n01440764
n01440764\sketch_16.JPEG,391,391,389,51,389,24,n01440764
n01440764\sketch_17.JPEG,391,389,50,391,391,111,n01440764
n01440764\sketch_18.JPEG,464,464,51,643,911,111,n01440764
n01440764\sketch_19.JPEG,549,750,917,549,917,921,n01440764
n01440764\sketch_2.JPEG,726,726,0,719,51,710,n01440764
n01440764\sketch_20.JPEG,391,0,391,405,611,611,n01440764
n01440764\sketch_21.JPEG,828,51,51,51,340,793,n01440764
n01440764\sketch_22.JPEG,549,828,679,111,679,673,n01440764
n01440764\sketch_23.JPEG,3,4,0,51,4,606,n01440764
n01440764\sketch_24.JPEG,0,389,389,389,389,828,n01440764
n01440764\sketch_25.JPEG,392,392,916,546,584,402,n01440764
n01440764\sketch_26.JPEG,34,584,391,457,391,43,n01440764
n01440764\sketch_27.JPEG,389,389,389,389,389,34,n01440764
n01440764\sketch_28.JPEG,50,50,50,390,147,147,n01440764
n01440764\sketch_29.JPEG,828,818,112,828,828,584,n01440764
n01440764\sketch_3.JPEG,0,389,391,389,389,24,n01440764
n01440764\sketch_30.JPEG,584,729,476,643,716,594,n01440764
n01440764\sketch_31.JPEG,69,51,340,116,770,770,n01440764
n01440764\sketch_32.JPEG,391,389,389,389,39,337,n01440764
n01440764\sketch_33.JPEG,391,389,389,389,0,281,n01440764
n01440764\sketch_34.JPEG,719,341,4,680,447,296,n01440764
n01440764\sketch_35.JPEG,316,584,123,584,802,584,n01440764
n01440764\sketch_36.JPEG,549,584,584,917,640,516,n01440764
n01440764\sketch_37.JPEG,714,615,473,746,457,223,n01440764
n01440764\sketch_38.JPEG,39,50,36,36,36,584,n01440764
n01440764\sketch_39.JPEG,391,36,391,51,281,791,n01440764
n01440764\sketch_4.JPEG,389,389,389,5,0,828,n01440764
n01440764\sketch_40.JPEG,589,512,389,828,457,512,n01440764
n01440764\sketch_41.JPEG,902,112,51,464,340,783,n01440764
n01440764\sketch_42.JPEG,758,363,391,828,107,516,n01440764
n01440764\sketch_43.JPEG,391,33,391,148,391,148,n01440764
n01440764\sketch_44.JPEG,389,389,389,0,921,715,n01440764
n01440764\sketch_45.JPEG,0,0,103,51,363,112,n01440764
n01440764\sketch_46.JPEG,539,916,539,584,539,922,n01440764
n01440764\sketch_47.JPEG,51,389,389,5,82,545,n01440764
n01440764\sketch_48.JPEG,389,389,389,828,395,828,n01440764
n01440764\sketch_49.JPEG,88,464,921,643,112,616,n01440764
n01440764\sketch_5.JPEG,584,457,391,584,457,457,n01440764
n01440764\sketch_50.JPEG,51,389,389,83,82,545,n01440764
n01440764\sketch_6.JPEG,611,405,389,515,391,448,n01440764
n01440764\sketch_7.JPEG,34,0,389,34,0,43,n01440764
n01440764\sketch_8.JPEG,51,389,389,51,389,464,n01440764
n01440764\sketch_9.JPEG,187,187,187,903,457,584,n01440764
n01443537\sketch_0.JPEG,36,36,917,39,36,488,n01443537
n01443537\sketch_1.JPEG,549,117,117,749,549,770,n01443537
n01443537\sketch_10.JPEG,340,340,340,396,549,584,n01443537
n01443537\sketch_11.JPEG,549,917,917,917,917,772,n01443537
