Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
n01534433\sketch_44.JPEG,n01534433,n01534433,n01534433,n01534433,n01534433,n01534433,n02011460,n01534433
n01950731\sketch_49.JPEG,n01930112,n06359193,n01784675,n01930112,n04275548,n07565083,n03000134,n01950731
n09193705\sketch_20.JPEG,n09193705,n09193705,n09193705,n09193705,n09193705,n09193705,n02013706,n09193705
n03785016\sketch_40.JPEG,n04482393,n02835271,n02835271,n03394916,n04482393,n03814906,n04200800,n03785016
n02640242\sketch_12.JPEG,n03127747,n03109150,n03476684,n04355933,n03109150,n03109150,n04005630,n02640242
n03594734\sketch_7.JPEG,n03141823,n02879718,n04127249,n04127249,n03141823,n04127249,n02112018,n03594734
n01622779\sketch_15.JPEG,n01622779,n01622779,n01622779,n01622779,n01622779,n01622779,n02101006,n01622779
n02009229\sketch_35.JPEG,n02009229,n02009229,n02009229,n02012849,n02009229,n02009229,n04005630,n02009229
n07579787\sketch_20.JPEG,n03775546,n02910353,n03961711,n03249569,n02910353,n02910353,n02730930,n07579787
n03832673\sketch_36.JPEG,n07248320,n04548362,n03794056,n04355338,n04355338,n04548362,n02804610,n03832673
n02488702\sketch_4.JPEG,n03291819,n06359193,n03291819,n03532672,n03532672,n04127249,n02701002,n02488702
n02002724\sketch_16.JPEG,n02002724,n02002724,n02002724,n02002724,n02002724,n02002724,n03709823,n02002724
n03062245\sketch_30.JPEG,n04557648,n04557648,n03825788,n04557648,n03825788,n03062245,n04005630,n03062245
n02125311\sketch_17.JPEG,n02125311,n02125311,n02125311,n03125729,n02114855,n04127249,n02112018,n02125311
n02098286\sketch_6.JPEG,n02098286,n02095889,n02095889,n02085936,n02095889,n03868863,n03201208,n02098286
n01983481\sketch_22.JPEG,n01983481,n01985128,n01930112,n03476684,n01983481,n03476684,n03000134,n01983481
n02119022\sketch_39.JPEG,n02120505,n02120505,n02120505,n02090622,n02114367,n02123045,n03000134,n02119022
n04152593\sketch_24.JPEG,n02231487,n02910353,n03794056,n06359193,n03291819,n03376595,n02102040,n04152593
n01784675\sketch_19.JPEG,n02840245,n02840245,n02840245,n03347037,n03291819,n04476259,n03028079,n01784675
n02823750\sketch_14.JPEG,n03876231,n02823750,n04423845,n03876231,n03876231,n03759954,n04005630,n02823750
n03854065\sketch_28.JPEG,n03854065,n03854065,n03854065,n03854065,n03854065,n02825657,n02174001,n03854065
n02814860\sketch_44.JPEG,n02814860,n04562935,n02906734,n03788195,n03781244,n03598930,n04090263,n02814860
n07716358\sketch_25.JPEG,n01930112,n01930112,n03047690,n01930112,n01930112,n07930864,n03201208,n07716358
n01580077\sketch_2.JPEG,n01580077,n01580077,n01797886,n01608432,n01580077,n03633091,n02101006,n01580077
n03133878\sketch_38.JPEG,n03133878,n03133878,n03133878,n03133878,n03133878,n03133878,n04005630,n03133878
n02107908\sketch_8.JPEG,n03063599,n03063599,n03063599,n03063599,n03063599,n03063599,n04005630,n02107908
n03642806\sketch_1.JPEG,n03297495,n03961711,n03961711,n03832673,n03832673,n03961711,n04005630,n03642806
n07930864\sketch_29.JPEG,n07930864,n07930864,n07930864,n07930864,n07930864,n07930864,n02101006,n07930864
n04141076\sketch_37.JPEG,n04141076,n03838899,n02804610,n02879718,n02749479,n03532672,n02701002,n04141076
n03777754\sketch_27.JPEG,n03492542,n03492542,n04041544,n03492542,n03492542,n03492542,n04081281,n03777754
n01632458\sketch_45.JPEG,n01930112,n01930112,n01930112,n03532672,n01930112,n03814906,n01847000,n01632458
n03710637\sketch_19.JPEG,n03710637,n03710721,n03710637,n03709823,n02892767,n02892767,n13054560,n03710637
n01740131\sketch_26.JPEG,n01930112,n01689811,n01930112,n01689811,n01748264,n02999410,n04081281,n01740131
n04310018\sketch_40.JPEG,n03291819,n03291819,n03291819,n03291819,n03291819,n03961711,n03042490,n04310018
n01833805\sketch_19.JPEG,n01833805,n01833805,n01833805,n01833805,n01833805,n02951585,n02174001,n01833805
n03956157\sketch_45.JPEG,n03733281,n02910353,n02910353,n04372370,n03291819,n02910353,n02701002,n03956157
n02971356\sketch_15.JPEG,n03733281,n03492542,n03492542,n03777754,n03492542,n03291819,n02112018,n02971356
n04525038\sketch_7.JPEG,n03124043,n03124043,n04522168,n03124043,n04522168,n04579432,n02101006,n04525038
n01601694\sketch_26.JPEG,n01601694,n01601694,n01873310,n01601694,n03724870,n02071294,n02111500,n01601694
n02088094\sketch_33.JPEG,n02102318,n02097474,n02088094,n02097474,n02086240,n02097474,n02112018,n02088094
n03792972\sketch_15.JPEG,n04507155,n03792972,n03792972,n03792972,n03792972,n04258138,n03201208,n03792972
n03496892\sketch_27.JPEG,n04204347,n04204347,n04204347,n04204347,n04204347,n03803284,n10148035,n03496892
n04542943\sketch_28.JPEG,n04542943,n04542943,n04542943,n04542943,n04542943,n04542943,n04005630,n04542943
n03857828\sketch_10.JPEG,n06785654,n01930112,n03532672,n02219486,n03291819,n03532672,n04548280,n03857828
n01734418\sketch_46.JPEG,n01740131,n01740131,n01756291,n01756291,n01740131,n04127249,n10565667,n01734418
