Item,Answer_resnet18,Answer_resnet34,Answer_resnet50,Answer_resnet101,Answer_resnet152,Answer_densenet121,Answer_densenet161,Answer_densenet169,Answer_densenet201,Answer_efficientnet_b0,Answer_efficientnet_b1,Answer_efficientnet_b2,Answer_efficientnet_b3,Answer_efficientnet_b4,Answer_vgg11,Answer_vgg13,Answer_vgg16,Answer_vgg19,Answer_mobilenet_v2,Answer_mobilenet_v3_large,Answer_mobilenet_v3_small,Answer_alexnet,Answer_shufflenet_v2_x0_5,Answer_shufflenet_v2_x1_0,Answer_squeezenet1_0,Answer_squeezenet1_1,Answer_inception_v3,True Label
0\58fbc3e79ef15162b7726de04e98c90bb91a3055.jpeg,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench
0\64f661b97cfd6db73bd6c30325597cf7c7b322d5.jpeg,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench
0\66123ec1b806abff544bb89e11653ef5185af4be.jpeg,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench
0\7e4a8987a9a330189cc38c4098b1c57ac301713f.jpeg,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench
0\8e1374a4e20d7af22665b7749158b7eb9fa3826e.jpeg,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench
0\bcf8a5326180b5e9320642f5024096fbc8a5d454.jpeg,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench
0\c0c1167c3683ef5887a4803ee7c77ef2d1a93276.jpeg,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench
0\cc19eded6ed2e6a5b47b733552b97ba59c27d66d.jpeg,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,acorn squash,tench,tench,tench
0\d337d803d2ca57a80e880cb0686ea96e5d4ca8c7.jpeg,sulphur butterfly,sulphur butterfly,sulphur butterfly,tench,tench,banana,banana,sulphur butterfly,butternut squash,vase,eft,butternut squash,coral fungus,banana,barracouta,banana,banana,banana,sulphur butterfly,pineapple,quill,sulphur butterfly,vase,pineapple,banana,banana,banana,tench
0\efae46d9adcc5d4578a91a028a259703ebd85ffe.jpeg,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench,tench
1\2fb7561b81c4e57499123d88ca1b3dfb90c12b04.jpeg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish
1\410be3396e37d22abeeb2117140570a27ca059d7.jpeg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish
