Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
211\917045b03dcf2ce7d95b583c2fb05ed8b36ebfc3.jpeg,n02100583,n02092339,n02100583,n02091032,n02087394,n02100583,n04041544,n02100583
696\53cabe73b8547f7662a9396c4bd0967b92b9ea6f.jpeg,n03876231,n03876231,n02909870,n02909870,n02909870,n03249569,n13040303,n03876231
476\c044d2870bdb0209ad3aeb48e836074ad4dd9ee6.jpeg,n03028079,n04286575,n03063689,n02843684,n03452741,n03028079,n02701002,n02966193
515\2d8c90331392d2ddd52d7e1a2d6024a761f3d359.jpeg,n03124170,n03124170,n03124170,n03124170,n03124170,n03535780,n04090263,n03124170
156\14b05c2ce85a33e02301e0d8571ddb5f3abf99fd.jpeg,n04344873,n02101388,n03814639,n04070727,n02113186,n04070727,n04040759,n02086646
869\ea094ce3d9c626824b42ba2f2cda17077d93148b.jpeg,n04033901,n03180011,n03793489,n06596364,n04033901,n06596364,n02701002,n04479046
704\431e7e663911ff459429844b49f980c860b20b4d.jpeg,n03891332,n03891332,n03891332,n03902125,n04443257,n03384352,n04090263,n03891332
435\e7321bc0d05f1cc6df44c2b510a92567bf6107ff.jpeg,n03887697,n03920288,n02808440,n04332243,n04553703,n15075141,n04070727,n02808440
150\6ee88913ef55e3e4b376663832a971db2dd56fee.jpeg,n02077923,n02077923,n02077923,n02077923,n02077923,n02002724,n04033901,n02077923
45\00bfb2b169b551ea39e44ff1d9c03b4cc56109b5.jpeg,n03476684,n04116512,n03658185,n04208210,n03887697,n03476684,n02101006,n01692333
706\38bb7fb045b2a92a3c578eb6da8ee37100e664f1.jpeg,n03877845,n03781244,n03781244,n03781244,n03903868,n03388043,n04081281,n03899768
308\772ab1c30930bf7f211a435c4560578ce7b74bd3.jpeg,n01770081,n01770081,n01770081,n02264363,n02236044,n01770081,n04070727,n02190166
258\5f01bca917e20301484ec5fc36146de9a462134f.jpeg,n09288635,n02098286,n02098286,n02098286,n09288635,n09288635,n04111531,n02111889
884\8acd7641bd82b5eac624089e721cc2038acf653f.jpeg,n04523525,n04523525,n04523525,n04523525,n04523525,n04523525,n02100735,n04523525
757\9fb5ced5e1584de9125b298946557ba58049d841.jpeg,n03895866,n04065272,n04065272,n04065272,n04467665,n04065272,n02174001,n04065272
123\95098efda1796d215fd8b92f0cf355d0ad55517e.jpeg,n01984695,n01984695,n01984695,n01984695,n01984695,n01984695,n03028079,n01984695
964\d1392fe69f6a86e20f068c9d5571636ce0cffe31.jpeg,n07875152,n07875152,n07875152,n07875152,n07875152,n07875152,n03201208,n07875152
774\1e13e5d80c3d63fa2b9da8680474676a5574bfdf.jpeg,n02786058,n02892201,n04133789,n07248320,n03223299,n02892201,n13052670,n04133789
242\9c45e4eb500430ba7b99e2cd2eb3a965f3d0719d.jpeg,n02091831,n02091831,n02091134,n10148035,n02091244,n02825657,n13040303,n02108089
734\ace1ab9ea8adf596bfded66690d3d3fef1bc93a7.jpeg,n03977966,n03977966,n02701002,n02701002,n02701002,n03977966,n02111129,n03977966
260\511c62c308bf19aa41e92c16594ce92c9b6a0c27.jpeg,n02112137,n02112137,n02112137,n02112137,n02112137,n02106030,n04070727,n02112137
407\e6074e99db6bba79be51aed53474d0c9e0b4f090.jpeg,n03345487,n03345487,n03345487,n03345487,n03345487,n04037443,n02701002,n02701002
727\69d89714dc655903e6b61821a387ed6f856454fc.jpeg,n03956157,n03956157,n03956157,n02793495,n03956157,n02793495,n02701002,n03956157
484\b13d2ebee139c1d204653fd620fb0a12ca762016.jpeg,n04483307,n04483307,n02981792,n04483307,n02981792,n04483307,n04040759,n02981792
823\30db77d6964aeae1aa35a13cf646de1e3bd5675f.jpeg,n04317175,n03630383,n04317175,n04317175,n04317175,n03630383,n01847000,n04317175
44\b29881b5f275617fd86a1eb79fe99ef019b11b4b.jpeg,n01687978,n01682714,n01687978,n01687978,n01687978,n01687978,n04070727,n01689811
348\5494e3187ce09a55f36f7c0f2dce174947364da2.jpeg,n02412080,n02412080,n02412080,n02412080,n02412080,n02500267,n04070727,n02412080
456\c1b89fa50f52f214419a7677c934813ae6d9c41b.jpeg,n02879718,n02879718,n02879718,n02879718,n02879718,n02879718,n04040759,n02879718
404\bd96cc0ffb7def08ad0ad5bfca62c8ee076ff468.jpeg,n04592741,n02687172,n02690373,n02690373,n04008634,n02690373,n13040303,n02690373
35\fb000c929b1ad0b7d3e2fbbd1d3d1992ab592cb8.jpeg,n01669191,n01669191,n01669191,n01669191,n01955084,n01669191,n04070727,n01667114
18\7aa7a28a76868fa30736f8313616af15b7c9b9ed.jpeg,n01582220,n01582220,n01582220,n01582220,n02445715,n01582220,n04041544,n01582220
597\c941ff0630632f3d9d23e3514cbf130e30f8c0f5.jpeg,n02879718,n03599486,n03770679,n02879718,n03770679,n03445924,n04070727,n03527444
536\87f7a1f47c59b733d0bcead913249f12de57c6c8.jpeg,n03240683,n03216828,n03216828,n03240683,n03240683,n03344393,n04090263,n03216828
764\831de6c8354ef0646d3e5c75ce55c4805850d8c3.jpeg,n02895154,n02817516,n02895154,n03733131,n02879718,n04311174,n03272010,n04090263
261\fef626ae1ec733699ee6036781840d265fdbd1ac.jpeg,n02112350,n02112350,n02112350,n02112350,n02112350,n02112350,n04070727,n02112350
116\e2911823391653bb7bae1183408f7d6e3e1f1a2c.jpeg,n01955084,n01955084,n01955084,n01955084,n01990800,n01990800,n07614500,n01955084
902\c090250ed7a017fb75efcdbe23d7f862c7f06d60.jpeg,n04579432,n04579432,n04579432,n04579432,n04579432,n04579432,n03000134,n04579432
417\d0e1544f24adcfa9b2e30961ef902055efe7f97e.jpeg,n02782093,n02782093,n02782093,n02782093,n02782093,n02782093,n13040303,n02782093
129\026c1862c471f4e0282c9ba32cf69b75803876bb.jpeg,n02009912,n02009912,n02009912,n02009912,n09332890,n02006656,n04070727,n02006656
167\6a1689a6f486f4c238deb209748768d5ae651014.jpeg,n02091244,n02089973,n02089973,n02091244,n02091244,n02099712,n04041544,n02089973
823\d4d78ef578d9a4b70d79a4fd62f3ab781c2ba891.jpeg,n03630383,n03630383,n03630383,n03630383,n03630383,n03630383,n03000247,n04317175
931\0381fcd3b80e9b23ef89a55a2f0c2a02fb7eb545.jpeg,n07693725,n07697313,n07693725,n07695742,n13054560,n01873310,n02102040,n07693725
434\6ec2658f7c7328323493acb4e812e57d50e8144e.jpeg,n04239074,n04239074,n04209239,n03742115,n04070727,n02791270,n03100240,n02808304
791\469eef3d7e431d3093b166df84964b4acd4c87a8.jpeg,n04204347,n03930313,n04204347,n04532670,n04204347,n04532670,n04371430,n04204347
830\5f2c90ed19603fcd4dc58bbe8b70ebb9a8ef988c.jpeg,n04336792,n04336792,n04336792,n04336792,n04336792,n04336792,n07614500,n04336792
957\f8ebb297143e9490140fc48d36bcd8cecf0f04b1.jpeg,n07768694,n07768694,n07768694,n07768694,n07768694,n07768694,n04111531,n07768694
138\44d6b84120361ee079f517d4aab13efd56d5d16c.jpeg,n02018795,n02018795,n02018795,n02018795,n02018795,n02018795,n02978881,n02018795
877\4f352726d99bc68b317d902e4c8f6be410dd85e9.jpeg,n04501370,n04501370,n04501370,n04501370,n04501370,n03661043,n02708093,n04501370
5\ab95281e7795bafebf93b2c1b822b46d1ebd943e.jpeg,n01496331,n01496331,n01496331,n01496331,n01496331,n01496331,n04090263,n01496331
726\eeef2c06804eacc343c027d4a28f81d822f52a03.jpeg,n03954731,n03954731,n03954731,n04542943,n03584829,n04179913,n01774750,n03954731
480\bdc7e3569348a3a4ceb6bf7701fad333ea92de98.jpeg,n02977058,n02977058,n02977058,n02977058,n02977058,n03425413,n02776631,n02977058
713\b232e5fe21bdec77f1060aef3343b2bf5b7dbd4f.jpeg,n03924679,n03924679,n02977058,n04004767,n02977058,n04004767,n02101006,n03924679
911\0356f4f8a046a6a17f1c3d469c076746ac34914e.jpeg,n01440764,n01440764,n04350905,n04584207,n04229816,n04350905,n04041544,n04599235
386\5810aace5144e53da1872711ef19d38461a3dfc2.jpeg,n02504458,n02504458,n02504458,n02504458,n02504458,n02504458,n04040759,n02504458
631\0a6b34fd222f9173073e6926e17dfebfeb4b5a2b.jpeg,n04357314,n04357314,n04357314,n03690938,n04357314,n04357314,n04070727,n03690938
710\a062a8929f91464254c1e15155be4ec5fc9b43a2.jpeg,n03908714,n03908714,n04392985,n03908714,n03908714,n04004767,n03201208,n03908714
817\976610e8ab3d118eac4c1ac3fc0049c16a70bca5.jpeg,n04285008,n04285008,n04285008,n04285008,n04285008,n04285008,n04070727,n04285008
87\e1579a40203b8240b10e9443a189e5f249878adf.jpeg,n01817953,n01817953,n01817953,n01817953,n01817953,n02454379,n02102040,n01817953
890\42d3ea82bda7f1e497cc84249868b245634ac4b7.jpeg,n03792782,n03792782,n04540053,n04540053,n04540053,n03967562,n02112018,n04540053
705\7d22e458172815b6c6cc51a01f02fbbe956a16e8.jpeg,n02917067,n02917067,n03895866,n04266014,n03769881,n03670208,n13040303,n03895866
171\21b02609b854f8fad857368ea732ec3c05996f6f.jpeg,n02091032,n02091032,n02091032,n02091032,n02091032,n02087046,n04070727,n02091032
