Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
n01443537\art_0.jpg,punching bag,milk can,milk can,milk can,pillow,pillow,n02120079,n01443537
n01443537\art_1.jpg,handkerchief,hair slide,pillow,pillow,pillow,ocarina,n02130308,n01443537
n01443537\art_10.jpg,goldfish,goldfish,goldfish,goldfish,goldfish,goldfish,n04507155,n01443537
n01443537\art_11.jpg,tray,tray,goldfish,tray,goldfish,goldfish,n02130308,n01443537
n01443537\art_12.jpg,plastic bag,pinwheel,plastic bag,plastic bag,pinwheel,macaw,n02033041,n01443537
n01443537\art_2.jpg,face powder,letter opener,face powder,tray,jigsaw puzzle,washer,n03272010,n01443537
n01443537\art_3.jpg,sleeping bag,sleeping bag,teddy,sleeping bag,quilt,sleeping bag,n03272010,n01443537
n01443537\art_4.jpg,tray,jigsaw puzzle,home theater,jigsaw puzzle,screen,prayer rug,n07583066,n01443537
n01443537\art_5.jpg,hammer,pole,pole,pole,totem pole,vacuum,n02120079,n01443537
n01443537\art_6.jpg,tray,handkerchief,banded gecko,jigsaw puzzle,shower curtain,envelope,n03272010,n01443537
n01443537\art_7.jpg,wardrobe,book jacket,tray,book jacket,tray,shower curtain,n07583066,n01443537
n01443537\art_8.jpg,wool,knee pad,wool,wool,wool,jersey,n03100240,n01443537
n01443537\art_9.jpg,hair slide,hair slide,pillow,hair slide,doormat,ski mask,n02130308,n01443537
n01443537\cartoon_0.jpg,bib,bib,bib,bib,bib,bubble,n02130308,n01443537
n01443537\cartoon_1.jpg,comic book,web site,web site,pick,envelope,web site,n03000134,n01443537
n01443537\cartoon_10.jpg,jigsaw puzzle,handkerchief,sea slug,jigsaw puzzle,handkerchief,pillow,n03127925,n01443537
n01443537\cartoon_11.jpg,rock beauty,comic book,comic book,rock beauty,comic book,comic book,n03223299,n01443537
n01443537\cartoon_12.jpg,pinwheel,pinwheel,jack-o'-lantern,pinwheel,piggy bank,piggy bank,n03223299,n01443537
n01443537\cartoon_13.jpg,comic book,comic book,comic book,scuba diver,comic book,airship,n03000134,n01443537
n01443537\cartoon_14.jpg,comic book,jack-o'-lantern,jellyfish,jack-o'-lantern,jack-o'-lantern,mask,n02130308,n01443537
n01443537\cartoon_15.jpg,envelope,envelope,envelope,envelope,envelope,envelope,n02111129,n01443537
n01443537\cartoon_16.jpg,pinwheel,packet,umbrella,paper towel,envelope,pillow,n03255030,n01443537
n01443537\cartoon_17.jpg,Band Aid,slot,envelope,comic book,comic book,comic book,n02130308,n01443537
n01443537\cartoon_18.jpg,comic book,pillow,comic book,jigsaw puzzle,pillow,shower curtain,n03272010,n01443537
n01443537\cartoon_19.jpg,piggy bank,comic book,shower curtain,jigsaw puzzle,comic book,shower curtain,n02111129,n01443537
n01443537\cartoon_2.jpg,pillow,pillow,mask,pillow,pillow,pillow,n02130308,n01443537
n01443537\cartoon_20.jpg,slot,slot,slot,comic book,slot,slot,n02111129,n01443537
n01443537\cartoon_21.jpg,piggy bank,piggy bank,piggy bank,piggy bank,piggy bank,piggy bank,n03733131,n01443537
n01443537\cartoon_22.jpg,scorpion,tick,washbasin,tray,scorpion,wall clock,n02120079,n01443537
n01443537\cartoon_23.jpg,comic book,handkerchief,comic book,handkerchief,jigsaw puzzle,pencil sharpener,n06359193,n01443537
n01443537\cartoon_24.jpg,tray,tray,comic book,comic book,comic book,bib,n02130308,n01443537
n01443537\cartoon_25.jpg,comic book,hook,mask,mask,comic book,acoustic guitar,n13040303,n01443537
n01443537\cartoon_26.jpg,street sign,lighter,doormat,book jacket,brass,street sign,n03838899,n01443537
n01443537\cartoon_27.jpg,bib,bib,bib,banded gecko,pillow,bib,n04200800,n01443537
