Item,Answer resnet50,Answer densenet121,Answer efficientnet_b0,Answer vgg16,Answer mobilenet_v3_large,Answer alexnet,Answer clip_vit_g_14_laion2b,True Label
n03658185\ILSVRC2012_val_00019407.JPEG,n01734418,n02165105,n03956157,n07693725,n07693725,n04019541,n02110063,n03658185
n07584110\ILSVRC2012_val_00024528.JPEG,n03929855,n03929855,n03929855,n03929855,n03929855,n03929855,n03201208,n07584110
n01806567\ILSVRC2012_val_00032344.JPEG,n02107683,n02107683,n02107683,n02110806,n02107683,n02480495,n04041544,n01806567
n02978881\ILSVRC2012_val_00046339.JPEG,n01796340,n03623198,n01985128,n04370456,n01735189,n01985128,n02701002,n02978881
n03770679\ILSVRC2012_val_00001722.JPEG,n03627232,n02037110,n03627232,n02319095,n03627232,n03271574,n02708093,n03770679
n02277742\ILSVRC2012_val_00029616.JPEG,n07753592,n07753592,n07753592,n07753592,n07753592,n07753592,n04041544,n02277742
n06596364\ILSVRC2012_val_00001019.JPEG,n12768682,n03249569,n03249569,n03249569,n03838899,n02086910,n02403003,n06596364
n03794056\ILSVRC2012_val_00034471.JPEG,n04398044,n04398044,n04398044,n04398044,n04398044,n04398044,n02708093,n03794056
n03804744\ILSVRC2012_val_00024466.JPEG,n02281406,n02169497,n04486054,n13044778,n02169497,n02727426,n04037443,n03804744
n07248320\ILSVRC2012_val_00003313.JPEG,n03733281,n03733281,n03733281,n03733281,n03733281,n03733281,n07715103,n07248320
n02951585\ILSVRC2012_val_00021257.JPEG,n02640242,n02640242,n02640242,n02999410,n02640242,n02013706,n13040303,n02951585
n02112350\ILSVRC2012_val_00047515.JPEG,n03272562,n03272562,n03272562,n03272562,n03272562,n03272562,n13040303,n02112350
n02100583\ILSVRC2012_val_00043912.JPEG,n02444819,n02444819,n02444819,n02444819,n02444819,n02444819,n04070727,n02100583
n01873310\ILSVRC2012_val_00018571.JPEG,n02480855,n02480855,n02480855,n02480855,n09193705,n03720891,n04041544,n01873310
n02116738\ILSVRC2012_val_00027066.JPEG,n03445924,n03445924,n03445924,n03445924,n03445924,n03445924,n04141076,n02116738
n02097474\ILSVRC2012_val_00039212.JPEG,n02114367,n02116738,n02116738,n03452741,n04147183,n02116738,n04070727,n02097474
n02860847\ILSVRC2012_val_00007532.JPEG,n02526121,n02526121,n02526121,n02526121,n02526121,n02526121,n02708093,n02860847
